Name,Spp,TL,SL,WT
English Sole,Parophrys vetulus,38,33,0.49
English Sole,Parophrys vetulus,39,34,0.48
English Sole,Parophrys vetulus,40,35,0.61
English Sole,Parophrys vetulus,40,34,0.52
English Sole,Parophrys vetulus,46,40,0.84
English Sole,Parophrys vetulus,48,40,0.93
English Sole,Parophrys vetulus,49,41,1.06
English Sole,Parophrys vetulus,50,43,0.88
English Sole,Parophrys vetulus,50,40,0.99
English Sole,Parophrys vetulus,51,42,1.19
English Sole,Parophrys vetulus,55,46,1.5
English Sole,Parophrys vetulus,55,47,1.4
English Sole,Parophrys vetulus,56,47,1.48
English Sole,Parophrys vetulus,57,49,2.03
English Sole,Parophrys vetulus,57,48,1.54
English Sole,Parophrys vetulus,58,50,2.01
English Sole,Parophrys vetulus,60,49,2.02
English Sole,Parophrys vetulus,60,50,1.89
English Sole,Parophrys vetulus,61,52,2.37
English Sole,Parophrys vetulus,63,53,2.67
English Sole,Parophrys vetulus,63,55,2.27
English Sole,Parophrys vetulus,64,55,2.56
English Sole,Parophrys vetulus,64,53,2.55
English Sole,Parophrys vetulus,65,57,2.94
English Sole,Parophrys vetulus,66,57,2.9
English Sole,Parophrys vetulus,67,57,2.86
English Sole,Parophrys vetulus,67,59,3.19
English Sole,Parophrys vetulus,67,55,2.88
English Sole,Parophrys vetulus,67,57,2.99
English Sole,Parophrys vetulus,67,56,2.68
English Sole,Parophrys vetulus,68,59,2.74
English Sole,Parophrys vetulus,69,59,3.54
English Sole,Parophrys vetulus,69,59,3.36
English Sole,Parophrys vetulus,70,62,3.73
English Sole,Parophrys vetulus,70,60,3.57
English Sole,Parophrys vetulus,70,60,3.63
English Sole,Parophrys vetulus,70,60,3.4
English Sole,Parophrys vetulus,70,60,3.66
English Sole,Parophrys vetulus,71,60,3.57
English Sole,Parophrys vetulus,72,63,4.38
English Sole,Parophrys vetulus,72,60,3.11
English Sole,Parophrys vetulus,72,60,3.37
English Sole,Parophrys vetulus,74,64,4.31
English Sole,Parophrys vetulus,74,62,4.34
English Sole,Parophrys vetulus,74,62,4.41
English Sole,Parophrys vetulus,75,63,4.44
English Sole,Parophrys vetulus,75,65,4.16
English Sole,Parophrys vetulus,75,64,4.06
English Sole,Parophrys vetulus,75,64,4.3
English Sole,Parophrys vetulus,76,65,4.62
English Sole,Parophrys vetulus,77,65,4.87
English Sole,Parophrys vetulus,77,68,4.28
English Sole,Parophrys vetulus,78,68,5.46
English Sole,Parophrys vetulus,78,66,4.62
English Sole,Parophrys vetulus,78,67,4.74
English Sole,Parophrys vetulus,78,65,4.33
English Sole,Parophrys vetulus,78,69,4.97
English Sole,Parophrys vetulus,79,68,5.19
English Sole,Parophrys vetulus,79,68,5.56
English Sole,Parophrys vetulus,79,67,4.42
English Sole,Parophrys vetulus,79,68,5.37
English Sole,Parophrys vetulus,79,69,4.9
English Sole,Parophrys vetulus,80,68,5.45
English Sole,Parophrys vetulus,80,69,5.25
English Sole,Parophrys vetulus,80,69,5.09
English Sole,Parophrys vetulus,80,69,4.98
English Sole,Parophrys vetulus,80,70,5.29
English Sole,Parophrys vetulus,82,73,5.43
English Sole,Parophrys vetulus,82,70,5.9
English Sole,Parophrys vetulus,82,69,5.51
English Sole,Parophrys vetulus,82,70,6.07
English Sole,Parophrys vetulus,82,70,6.28
English Sole,Parophrys vetulus,82,72,4.96
English Sole,Parophrys vetulus,83,71,5.54
English Sole,Parophrys vetulus,83,70,5.96
English Sole,Parophrys vetulus,85,72,7.38
English Sole,Parophrys vetulus,85,72,6.26
English Sole,Parophrys vetulus,85,77,6.18
English Sole,Parophrys vetulus,85,74,6.45
English Sole,Parophrys vetulus,85,73,5.31
English Sole,Parophrys vetulus,85,73,6.05
English Sole,Parophrys vetulus,86,74,6.89
English Sole,Parophrys vetulus,86,72,7.21
English Sole,Parophrys vetulus,86,72,6.65
English Sole,Parophrys vetulus,86,72,6.44
English Sole,Parophrys vetulus,87,75,6.42
English Sole,Parophrys vetulus,88,76,6.3
English Sole,Parophrys vetulus,89,77,7.54
English Sole,Parophrys vetulus,89,78,6.91
English Sole,Parophrys vetulus,89,76,7.76
English Sole,Parophrys vetulus,92,80,8.19
English Sole,Parophrys vetulus,92,80,7.92
English Sole,Parophrys vetulus,93,81,8.29
English Sole,Parophrys vetulus,93,81,7.64
English Sole,Parophrys vetulus,97,84,9.24
English Sole,Parophrys vetulus,98,85,9.68
English Sole,Parophrys vetulus,99,85,9.59
English Sole,Parophrys vetulus,99,85,8.74
English Sole,Parophrys vetulus,100,86,9.74
English Sole,Parophrys vetulus,100,86,9.72
English Sole,Parophrys vetulus,102,88,10.57
English Sole,Parophrys vetulus,103,91,10.81
English Sole,Parophrys vetulus,104,92,10.14
English Sole,Parophrys vetulus,104,87,10.84
English Sole,Parophrys vetulus,106,92,11.84
English Sole,Parophrys vetulus,108,92,12.96
English Sole,Parophrys vetulus,108,94,11.56
English Sole,Parophrys vetulus,110,94,13.69
English Sole,Parophrys vetulus,110,92,12.27
English Sole,Parophrys vetulus,112,97,13.81
English Sole,Parophrys vetulus,112,94,13.07
English Sole,Parophrys vetulus,115,89,10.85
English Sole,Parophrys vetulus,115,100,15.01
English Sole,Parophrys vetulus,120,105,16.27
English Sole,Parophrys vetulus,121,104,16.01
English Sole,Parophrys vetulus,122,105,16.84
English Sole,Parophrys vetulus,129,111,20.05
English Sole,Parophrys vetulus,130,111,19.14
English Sole,Parophrys vetulus,130,111,20.25
English Sole,Parophrys vetulus,130,113,19.59
English Sole,Parophrys vetulus,140,120,26.88
English Sole,Parophrys vetulus,145,125,30.16
English Sole,Parophrys vetulus,145,125,28.3
English Sole,Parophrys vetulus,146,127,29.77
English Sole,Parophrys vetulus,147,125,30.75